Aggregate_Date,Platform,Country_ID,Download_MBPS,Upload_MBPS,Latency_MS,Jitter,Rank,Month,PrevMonth,Country_Name
2024-04-01,Mobile,130,43.94,12.86,37,41,98,2024-04,2024-03,Angola
2024-04-01,Mobile,179,43.50,15.42,46,36,99,2024-04,2024-03,Somalia
2024-04-01,Mobile,105,42.64,16.58,23,22,100,2024-04,2024-03,Armenia
2024-04-01,Mobile,74,41.97,10.19,24,21,101,2024-04,2024-03,Sri Lanka
2024-04-01,Mobile,93,41.64,18.65,28,21,102,2024-04,2024-03,Iraq
2024-04-01,Mobile,64,41.09,15.81,30,32,103,2024-04,2024-03,Fiji
2024-04-01,Mobile,163,40.90,17.27,36,34,104,2024-04,2024-03,Mozambique
2024-04-01,Mobile,133,40.40,17.90,25,23,105,2024-04,2024-03,Tunisia
2024-04-01,Mobile,14,39.96,12.01,41,29,106,2024-04,2024-03,Russia
2024-04-01,Mobile,67,39.34,14.88,28,18,107,2024-04,2024-03,Trinidad and Tobago
2024-04-01,Mobile,31,38.12,15.96,33,38,108,2024-04,2024-03,Indonesia
2024-04-01,Mobile,113,37.90,14.39,31,36,109,2024-04,2024-03,Cambodia
2024-04-01,Mobile,8,37.63,15.50,34,26,110,2024-04,2024-03,Ukraine
2024-04-01,Mobile,69,37.43,14.79,26,26,111,2024-04,2024-03,El Salvador
2024-04-01,Mobile,63,36.75,9.45,38,36,112,2024-04,2024-03,Egypt
2024-04-01,Mobile,108,36.72,14.66,33,27,113,2024-04,2024-03,Algeria
2024-04-01,Mobile,199,36.59,10.68,55,47,114,2024-04,2024-03,Zambia
2024-04-01,Mobile,170,34.98,16.08,40,41,115,2024-04,2024-03,Myanmar (Burma)
2024-04-01,Mobile,123,34.50,13.93,27,19,116,2024-04,2024-03,Bosnia and Herzegovina
2024-04-01,Mobile,56,33.90,13.00,39,34,117,2024-04,2024-03,Ecuador
2024-04-01,Mobile,138,33.77,14.16,31,26,118,2024-04,2024-03,Bangladesh
2024-04-01,Mobile,171,32.71,13.52,80,51,119,2024-04,2024-03,Papua New Guinea
2024-04-01,Mobile,51,30.82,16.04,32,29,120,2024-04,2024-03,Peru
2024-04-01,Mobile,60,29.73,16.45,26,24,121,2024-04,2024-03,Panama
2024-04-01,Mobile,75,29.09,13.70,32,35,122,2024-04,2024-03,Nicaragua
2024-04-01,Mobile,189,28.98,12.55,35,29,123,2024-04,2024-03,Namibia
2024-04-01,Mobile,124,28.66,15.95,32,32,124,2024-04,2024-03,Ghana
2024-04-01,Mobile,174,27.25,9.29,33,37,125,2024-04,2024-03,Rwanda
2024-04-01,Mobile,194,27.17,10.23,56,58,126,2024-04,2024-03,DR Congo
2024-04-01,Mobile,80,26.89,11.74,34,29,127,2024-04,2024-03,Belarus
2024-04-01,Mobile,111,25.89,9.72,40,25,128,2024-04,2024-03,Paraguay
2024-04-01,Mobile,21,25.75,11.98,33,33,129,2024-04,2024-03,Pakistan
2024-04-01,Mobile,125,22.45,13.39,26,25,130,2024-04,2024-03,Nepal
2024-04-01,Mobile,106,21.62,6.58,45,87,131,2024-04,2024-03,Syria
2024-04-01,Mobile,153,21.38,8.21,32,34,132,2024-04,2024-03,Libya
2024-04-01,Mobile,102,20.93,10.68,65,45,133,2024-04,2024-03,Cameroon
2024-04-01,Mobile,97,20.90,10.39,83,105,134,2024-04,2024-03,Sudan
2024-04-01,Mobile,43,20.88,9.05,48,47,135,2024-04,2024-03,Venezuela
2024-04-01,Mobile,121,19.60,9.78,29,31,136,2024-04,2024-03,Mongolia
2024-04-01,Mobile,144,19.36,8.05,43,51,137,2024-04,2024-03,Tajikistan
2024-04-01,Mobile,62,18.72,12.19,33,38,138,2024-04,2024-03,Bolivia
2024-04-01,Mobile,140,17.79,11.30,38,76,139,2024-04,2024-03,Haiti
2024-04-01,Mobile,158,16.88,8.67,28,18,140,2024-04,2024-03,Belize
2024-04-01,Mobile,244,13.59,7.03,27,44,141,2024-04,2024-03,East Timor
2024-04-01,Mobile,114,9.66,9.52,54,87,142,2024-04,2024-03,Yemen
2024-04-01,Mobile,146,9.29,5.33,135,81,143,2024-04,2024-03,Cuba
2024-04-01,Mobile,117,9.14,3.91,43,35,144,2024-04,2024-03,Afghanistan
