Aggregate_Date,Platform,Country_ID,Download_MBPS,Upload_MBPS,Latency_MS,Jitter,Rank,Month,PrevMonth,Country_Name
2024-04-01,Fixed Broadband,105,102.86,94.59,9,15,87,2024-04,2024-03,Armenia
2024-04-01,Fixed Broadband,259,101.81,44.71,11,14,88,2024-04,2024-03,Kosovo
2024-04-01,Fixed Broadband,42,98.69,38.42,18,23,89,2024-04,2024-03,Turkey
2024-04-01,Fixed Broadband,11,94.91,88.09,14,22,90,2024-04,2024-03,India
2024-04-01,Fixed Broadband,125,93.75,73.90,9,24,91,2024-04,2024-03,Nepal
2024-04-01,Fixed Broadband,81,93.51,86.65,21,28,92,2024-04,2024-03,Kazakhstan
2024-04-01,Fixed Broadband,100,92.58,108.13,17,21,93,2024-04,2024-03,Uzbekistan
2024-04-01,Fixed Broadband,43,90.14,84.83,25,37,94,2024-04,2024-03,Venezuela
2024-04-01,Fixed Broadband,22,88.48,24.13,23,26,95,2024-04,2024-03,Greece
2024-04-01,Fixed Broadband,87,87.29,83.13,10,15,96,2024-04,2024-03,Palestine
2024-04-01,Fixed Broadband,134,84.27,26.77,10,19,97,2024-04,2024-03,Mauritius
2024-04-01,Fixed Broadband,158,83.67,62.45,14,23,98,2024-04,2024-03,Belize
2024-04-01,Fixed Broadband,50,83.62,58.04,14,14,99,2024-04,2024-03,Saint Kitts and Nevis
2024-04-01,Fixed Broadband,46,82.42,64.51,22,32,100,2024-04,2024-03,South Africa
2024-04-01,Fixed Broadband,124,80.74,45.01,26,43,101,2024-04,2024-03,Ghana
2024-04-01,Fixed Broadband,121,80.29,69.18,16,20,102,2024-04,2024-03,Mongolia
2024-04-01,Fixed Broadband,52,76.04,57.94,16,20,103,2024-04,2024-03,North Macedonia
2024-04-01,Fixed Broadband,132,74.28,48.56,17,17,104,2024-04,2024-03,Seychelles
2024-04-01,Fixed Broadband,75,73.88,25.58,16,23,105,2024-04,2024-03,Nicaragua
2024-04-01,Fixed Broadband,63,73.43,23.64,16,12,106,2024-04,2024-03,Egypt
2024-04-01,Fixed Broadband,36,72.48,22.84,28,27,107,2024-04,2024-03,Guatemala
2024-04-01,Fixed Broadband,69,71.89,26.71,22,25,108,2024-04,2024-03,El Salvador
2024-04-01,Fixed Broadband,119,71.77,72.73,9,17,109,2024-04,2024-03,Kyrgyzstan
2024-04-01,Fixed Broadband,138,71.70,66.45,9,19,110,2024-04,2024-03,Bangladesh
2024-04-01,Fixed Broadband,123,70.02,17.13,23,28,111,2024-04,2024-03,Bosnia and Herzegovina
2024-04-01,Fixed Broadband,104,65.37,32.62,26,38,112,2024-04,2024-03,Lebanon
2024-04-01,Fixed Broadband,188,61.45,27.32,21,31,113,2024-04,2024-03,Burkina Faso
2024-04-01,Fixed Broadband,113,60.61,60.34,10,22,114,2024-04,2024-03,Cambodia
2024-04-01,Fixed Broadband,172,59.90,16.71,18,30,115,2024-04,2024-03,Gabon
2024-04-01,Fixed Broadband,110,58.87,54.28,11,22,116,2024-04,2024-03,Azerbaijan
2024-04-01,Fixed Broadband,61,58.36,26.53,20,29,117,2024-04,2024-03,Dominican Republic
2024-04-01,Fixed Broadband,74,56.57,36.02,22,30,118,2024-04,2024-03,Sri Lanka
2024-04-01,Fixed Broadband,108,56.21,26.72,32,36,119,2024-04,2024-03,Algeria
2024-04-01,Fixed Broadband,194,55.76,16.79,99,53,120,2024-04,2024-03,DR Congo
2024-04-01,Fixed Broadband,175,55.19,33.03,20,44,121,2024-04,2024-03,Congo
2024-04-01,Fixed Broadband,73,54.84,25.75,41,32,122,2024-04,2024-03,Honduras
2024-04-01,Fixed Broadband,143,54.33,51.61,12,23,123,2024-04,2024-03,Laos
2024-04-01,Fixed Broadband,140,54.07,29.00,46,42,124,2024-04,2024-03,Haiti
2024-04-01,Fixed Broadband,144,53.05,54.85,16,31,125,2024-04,2024-03,Tajikistan
